                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0986,                0.45809,                0.79966,                0.99827,                0.99995,                  0.995,                0.71956,                 1.0661,                0.42433,                0.76992,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0995,                0.45596,                0.78922,                0.99823,                0.99971,                  0.995,                0.71146,                 1.1063,                0.44018,                0.77286,             0.00038375,             0.00038375,             0.00038375
                     38,                  1.094,                0.46636,                0.79411,                0.99921,                0.99988,                  0.995,                0.70882,                 1.0846,                0.43608,                 0.7718,               0.000359,               0.000359,               0.000359
                     39,                 1.0713,                0.44705,                0.79253,                0.99906,                 0.9998,                  0.995,                0.71795,                 1.0641,                0.42075,                0.77072,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0416,                0.43468,                 0.7878,                0.99934,                0.99983,                  0.995,                0.72039,                 1.0748,                0.41124,                0.77134,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0417,                0.44119,                0.79379,                0.99909,                      1,                  0.995,                 0.6969,                 1.1254,                0.43151,                0.77222,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0259,                0.44583,                0.78859,                  0.999,                 0.9998,                  0.995,                0.70966,                 1.0878,                 0.4224,                0.77207,                0.00026,                0.00026,                0.00026
                     43,                   1.01,                0.43328,                0.78983,                0.99877,                0.99963,                  0.995,                0.71622,                 1.0651,                0.40492,                0.77249,             0.00023525,             0.00023525,             0.00023525
                     44,                0.98957,                0.42168,                0.79323,                0.99898,                      1,                  0.995,                0.69581,                 1.1444,                0.42175,                0.77402,              0.0002105,              0.0002105,              0.0002105
                     45,                0.97788,                 0.4286,                0.79254,                0.99928,                0.99999,                  0.995,                0.72223,                 1.0783,                0.41249,                0.77157,             0.00018575,             0.00018575,             0.00018575
                     46,                 0.9675,                0.40891,                0.79171,                0.99878,                      1,                  0.995,                0.71699,                 1.0815,                0.41622,                0.77119,               0.000161,               0.000161,               0.000161
                     47,                 0.9583,                0.41242,                 0.7889,                0.99923,                0.99952,                  0.995,                0.70896,                 1.1061,                0.41634,                0.77415,             0.00013625,             0.00013625,             0.00013625
                     48,                0.96243,                0.40322,                0.79197,                0.99871,                      1,                  0.995,                0.71062,                  1.081,                0.40764,                0.77208,              0.0001115,              0.0001115,              0.0001115
                     49,                0.91601,                0.39348,                0.78662,                 0.9991,                0.99995,                  0.995,                0.72061,                 1.0872,                0.40818,                0.77171,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.89885,                0.38525,                0.79005,                0.99916,                0.99987,                  0.995,                0.72165,                 1.0602,                0.39843,                0.77053,                6.2e-05,                6.2e-05,                6.2e-05
