                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0859,                0.45939,                0.79883,                0.99837,                0.99911,                  0.995,                0.69498,                  1.132,                0.43999,                 0.7756,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0828,                0.45211,                0.78793,                 0.9989,                0.99996,                  0.995,                0.70897,                 1.1132,                0.43729,                0.77208,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.0546,                 0.4522,                0.79278,                0.99919,                      1,                  0.995,                 0.6899,                 1.1314,                0.43383,                0.77316,               0.000359,               0.000359,               0.000359
                     39,                 1.0521,                0.44182,                0.79156,                0.99959,                0.99936,                  0.995,                0.68695,                 1.1479,                 0.4439,                0.77468,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0283,                0.43837,                0.78706,                0.99866,                0.99974,                  0.995,                0.69957,                 1.1238,                0.43444,                0.77259,              0.0003095,              0.0003095,              0.0003095
                     41,                  1.021,                0.43723,                0.79217,                0.99914,                      1,                  0.995,                0.70316,                 1.1229,                0.43232,                0.77259,             0.00028475,             0.00028475,             0.00028475
                     42,                0.99496,                0.43965,                0.78702,                 0.9991,                      1,                  0.995,                0.69723,                 1.1169,                0.42795,                0.77219,                0.00026,                0.00026,                0.00026
                     43,                0.97927,                0.43162,                0.78869,                0.99866,                      1,                  0.995,                 0.6979,                 1.1263,                0.42443,                0.77443,             0.00023525,             0.00023525,             0.00023525
                     44,                  0.972,                0.42215,                0.79304,                0.99911,                      1,                  0.995,                0.71076,                 1.1089,                 0.4255,                0.77195,              0.0002105,              0.0002105,              0.0002105
                     45,                0.96432,                0.42946,                0.79178,                0.99893,                      1,                  0.995,                 0.6891,                  1.138,                0.42957,                0.77397,             0.00018575,             0.00018575,             0.00018575
                     46,                0.93399,                 0.4038,                0.79213,                0.99811,                      1,                  0.995,                0.70288,                 1.1195,                0.42277,                0.77296,               0.000161,               0.000161,               0.000161
                     47,                0.93761,                0.40794,                 0.7873,                0.99803,                      1,                  0.995,                 0.7042,                 1.1145,                0.42045,                0.77376,             0.00013625,             0.00013625,             0.00013625
                     48,                0.93227,                0.40014,                0.79034,                0.99837,                      1,                  0.995,                0.70475,                 1.1006,                0.42073,                0.77234,              0.0001115,              0.0001115,              0.0001115
                     49,                0.90693,                0.39083,                0.78637,                0.99837,                0.99996,                  0.995,                0.69646,                 1.1403,                0.42855,                  0.773,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.89165,                0.38591,                0.78994,                0.99861,                      1,                  0.995,                0.70412,                 1.1116,                0.41462,                0.77299,                6.2e-05,                6.2e-05,                6.2e-05
